type,id,properties.mag,properties.place,properties.time,properties.updated,properties.tz,properties.url,properties.detail,properties.felt,properties.cdi,properties.mmi,properties.alert,properties.status,properties.tsunami,properties.sig,properties.net,properties.code,properties.ids,properties.sources,properties.types,properties.nst,properties.dmin,properties.rms,properties.gap,properties.magType,properties.type,properties.title,geometry.type,geometry.coordinates,Longitud,Latitud,Profundidad
Feature,us7000jiyi,3.9,"5 km N of Sequndo, Colorado",2023-03-10 20:31:35.894,2023-05-15 02:49:20.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jiyi,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000jiyi&format=geojson,14.0,5.0,4.572,green,reviewed,0,241,us,7000jiyi,",us7000jiyi,",",us,",",dyfi,groundmotion-packet,losspager,moment-tensor,origin,phase-data,shakemap,",45.0,0.064,0.88,30.0,mwr,earthquake,"M 3.9 - 5 km N of Sequndo, Colorado",Point,"[-104.7283, 37.1696, 4.466]",-104.7283,37.1696,4.466
Feature,us7000jiqv,4.3,"6 km NNE of Segundo, Colorado",2023-03-10 06:06:47.969,2023-05-15 02:49:32.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jiqv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000jiqv&format=geojson,106.0,4.4,4.66,green,reviewed,0,331,us,7000jiqv,",us7000jiqv,",",us,",",dyfi,earthquake-name,groundmotion-packet,losspager,moment-tensor,origin,phase-data,shakemap,",54.0,0.066,0.68,55.0,mwr,earthquake,"M 4.3 - 6 km NNE of Segundo, Colorado",Point,"[-104.7339, 37.175, 5.574]",-104.7339,37.175,5.574
Feature,tx2023edto,4.1,"37 km NNW of Toyah, Texas",2023-02-28 23:26:08.542,2023-05-08 02:00:00.040,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023edto,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023edto&format=geojson,2.0,2.7,4.493,green,reviewed,0,259,tx,2023edto,",us7000jgd3,tx2023edto,",",us,tx,",",dyfi,groundmotion-packet,losspager,moment-tensor,origin,phase-data,shakemap,",45.0,0.017525607,0.1,50.0,ml,earthquake,"M 4.1 - 37 km NNW of Toyah, Texas",Point,"[-103.9891287, 31.61345334, 8.483850098]",-103.9891287,31.61345334,8.483850098
Feature,tx2023drrr,4.0,"55 km S of Whites City, New Mexico",2023-02-22 08:51:24.649,2023-04-29 21:57:25.040,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023drrr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023drrr&format=geojson,,,4.425,green,reviewed,0,246,tx,2023drrr,",us6000jqr9,tx2023drrr,",",us,tx,",",losspager,moment-tensor,origin,phase-data,shakemap,",45.0,0.05669957537,0.2,46.0,ml,earthquake,"M 4.0 - 55 km S of Whites City, New Mexico",Point,"[-104.3682345, 31.6721879, 7.211303711]",-104.3682345,31.6721879,7.211303711
Feature,tx2023drpm,4.2,western Texas,2023-02-22 07:44:10.283,2023-04-29 21:57:25.040,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023drpm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023drpm&format=geojson,5.0,3.8,4.718,green,reviewed,0,273,tx,2023drpm,",us6000jqqu,tx2023drpm,",",us,tx,",",dyfi,groundmotion-packet,losspager,moment-tensor,origin,phase-data,shakemap,",50.0,0.05186318022,0.2,45.0,ml,earthquake,M 4.2 - western Texas,Point,"[-104.374706, 31.67352601, 6.645727539]",-104.374706,31.67352601,6.645727539
Feature,tx2023dgvx,4.7,"15 km NE of Hermleigh, Texas",2023-02-16 10:29:04.966,2023-04-22 21:33:13.040,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023dgvx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023dgvx&format=geojson,271.0,5.8,5.315,green,reviewed,0,497,tx,2023dgvx,",us6000jpbv,tx2023dgvx,",",us,tx,",",dyfi,losspager,moment-tensor,origin,phase-data,shakemap,",33.0,0.08525345248,0.3,48.0,ml,earthquake,"M 4.7 - 15 km NE of Hermleigh, Texas",Point,"[-100.6594179, 32.7456665, 7.849975586]",-100.6594179,32.7456665,7.849975586
Feature,us6000jke7,3.8,"9 km NNW of Livingston, Montana",2023-01-30 19:28:52.405,2023-04-13 21:53:11.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jke7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jke7&format=geojson,308.0,3.3,3.509,green,reviewed,0,324,us,6000jke7,",us6000jke7,",",us,",",dyfi,losspager,moment-tensor,origin,phase-data,shakemap,",23.0,0.652,0.43,60.0,mwr,earthquake,"M 3.8 - 9 km NNW of Livingston, Montana",Point,"[-110.5969, 45.7449, 20.111]",-110.5969,45.7449,20.111
Feature,ci40161279,4.19,"16km S of Malibu Beach, CA",2023-01-25 10:00:54.680,2023-04-11 18:51:30.040,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40161279,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40161279&format=geojson,11373.0,4.5,4.253,green,reviewed,1,720,ci,40161279,",ci40161279,at00rp1d5j,us6000jj43,ew1674640860,",",ci,at,us,ew,",",dyfi,focal-mechanism,impact-link,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",155.0,0.1464,0.24,134.0,mw,earthquake,"M 4.2 - 16km S of Malibu Beach, CA",Point,"[-118.7045, 33.885, 14.71]",-118.7045,33.885,14.71
Feature,nc73834441,4.26,"16km WSW of Weitchpec, CA",2023-01-20 08:01:14.570,2023-04-20 22:26:01.468,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73834441,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73834441&format=geojson,504.0,4.1,4.073,green,reviewed,0,486,nc,73834441,",ew1674201680,nc73834441,us7000j5qc,",",ew,nc,us,",",dyfi,focal-mechanism,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",80.0,0.2208,0.17,89.0,mw,earthquake,"M 4.3 - 16km WSW of Weitchpec, CA",Point,"[-123.8753333, 41.128, 25.27]",-123.8753333,41.128,25.27
Feature,nc73831546,3.5,"14km WSW of Ferndale, CA",2023-01-13 10:02:52.520,2023-04-05 16:34:45.389,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73831546,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73831546&format=geojson,86.0,3.4,3.379,green,reviewed,0,218,nc,73831546,",ew1673604170,us7000j43j,nc73831546,",",ew,us,nc,",",dyfi,focal-mechanism,losspager,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",30.0,0.0738,0.1,223.0,ml,earthquake,"M 3.5 - 14km WSW of Ferndale, CA",Point,"[-124.41, 40.5245, 18.4]",-124.41,40.5245,18.4
Feature,nc73831091,4.05,"57km W of Ferndale, CA",2023-01-11 17:21:42.950,2023-03-20 06:03:22.040,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73831091,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73831091&format=geojson,33.0,3.1,2.397,green,reviewed,0,263,nc,73831091,",us7000j3pq,nc73831091,ew1673457710,",",us,nc,ew,",",dyfi,focal-mechanism,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",79.0,0.4559,0.21,234.0,mw,earthquake,"M 4.1 - 57km W of Ferndale, CA",Point,"[-124.9323333, 40.5213333, 17.86]",-124.9323333,40.5213333,17.86
Feature,nc73827436,3.9,"9km NW of Pinnacles, CA",2023-01-01 06:49:10.190,2023-04-05 16:10:51.335,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73827436,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73827436&format=geojson,272.0,4.1,4.369,green,reviewed,0,346,nc,73827436,",ew1672555750,nc73827436,us7000j1cv,",",ew,nc,us,",",dyfi,focal-mechanism,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",70.0,0.02872,0.13,72.0,mw,earthquake,"M 3.9 - 9km NW of Pinnacles, CA",Point,"[-121.2063333, 36.595, 7.74]",-121.2063333,36.595,7.74
Feature,ci40151807,4.14,"16km N of Borrego Springs, CA",2022-12-31 12:12:26.650,2023-04-05 16:03:26.740,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40151807,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40151807&format=geojson,1856.0,4.8,4.605,green,reviewed,0,744,ci,40151807,",ci40151807,us7000j18c,ew1672488750,",",ci,us,ew,",",dyfi,focal-mechanism,groundmotion-packet,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",132.0,0.07391,0.19,16.0,mw,earthquake,"M 4.1 - 16km N of Borrego Springs, CA",Point,"[-116.3933333, 33.3975, 3.88]",-116.3933333,33.3975,3.88
Feature,nc73824236,4.16,"8km E of Hydesville, CA",2022-12-24 19:33:44.190,2023-03-07 18:59:46.040,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73824236,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73824236&format=geojson,470.0,4.3,3.889,green,reviewed,0,468,nc,73824236,",ew1671910430,nc73824236,us6000jbh1,",",ew,nc,us,",",dyfi,focal-mechanism,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",40.0,0.08861,0.15,43.0,mw,earthquake,"M 4.2 - 8km E of Hydesville, CA",Point,"[-124.0083333, 40.5571667, 22.4]",-124.0083333,40.5571667,22.4
Feature,nc73822026,4.35,"6km WSW of Ferndale, CA",2022-12-20 22:06:34.380,2023-02-28 23:06:36.040,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73822026,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73822026&format=geojson,92.0,4.3,4.095,green,reviewed,1,331,nc,73822026,",ew1671574000,nc73822026,at00rn7mqw,us6000japr,",",ew,nc,at,us,",",dyfi,focal-mechanism,impact-link,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",32.0,0.05465,0.17,188.0,mw,earthquake,"M 4.4 - 6km WSW of Ferndale, CA",Point,"[-124.3291667, 40.5455, 19.74]",-124.3291667,40.5455,19.74
Feature,nc73821636,3.99,"6km NNE of Hydesville, CA",2022-12-20 15:09:05.740,2023-02-28 23:06:34.040,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73821636,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73821636&format=geojson,50.0,4.2,3.724,green,reviewed,0,266,nc,73821636,",nc73821636,us6000jakz,ew1671548950,",",nc,us,ew,",",dyfi,focal-mechanism,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",33.0,0.05957,0.11,31.0,mw,earthquake,"M 4.0 - 6km NNE of Hydesville, CA",Point,"[-124.0688333, 40.6005, 22.5]",-124.0688333,40.6005,22.5
Feature,nc73821046,4.92,"7km WNW of Rio Dell, CA",2022-12-20 10:39:02.360,2023-02-28 23:06:32.040,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73821046,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73821046&format=geojson,133.0,6.4,4.615,green,reviewed,0,458,nc,73821046,",nc73821046,us6000jahr,ew1671532750,",",nc,us,ew,",",dyfi,focal-mechanism,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",35.0,0.06918,0.12,60.0,mw,earthquake,"M 4.9 - 7km WNW of Rio Dell, CA",Point,"[-124.1881667, 40.5228333, 26.55]",-124.1881667,40.5228333,26.55
Feature,tx2022yplg,5.2,"Range Hill, Texas",2022-12-16 23:35:27.984,2023-05-12 23:45:36.614,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022yplg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022yplg&format=geojson,2404.0,7.8,6.42,green,reviewed,0,600,tx,2022yplg,",us6000j9vq,tx2022yplg,",",us,tx,",",dyfi,earthquake-name,general-text,ground-failure,losspager,moment-tensor,oaf,origin,phase-data,shakemap,significance,",39.0,0.06509215908,0.2,40.0,ml,earthquake,"M 5.2 - Range Hill, Texas",Point,"[-102.1406965, 32.19085693, 8.192342122]",-102.1406965,32.19085693,8.192342122
Feature,nc73814971,3.98,"9km SSW of Kettleman City, CA",2022-12-06 00:10:37.510,2023-02-11 23:03:09.040,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73814971,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73814971&format=geojson,32.0,3.5,3.983,green,reviewed,0,255,nc,73814971,",ew1670285440,us6000j76e,nc73814971,",",ew,us,nc,",",dyfi,focal-mechanism,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",66.0,0.08222,0.16,75.0,mw,earthquake,"M 4.0 - 9km SSW of Kettleman City, CA",Point,"[-120.0126667, 35.9356667, 9.46]",-120.0126667,35.9356667,9.46
Feature,tx2022xaxs,4.7,"34 km WSW of Mentone, Texas",2022-11-24 19:19:28.583,2023-01-30 06:01:35.040,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022xaxs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022xaxs&format=geojson,30.0,3.3,5.415,green,reviewed,0,350,tx,2022xaxs,",us7000is63,tx2022xaxs,",",us,tx,",",dyfi,earthquake-name,losspager,moment-tensor,origin,phase-data,shakemap,",52.0,0.01444631952,0.1,31.0,ml,earthquake,"M 4.7 - 34 km WSW of Mentone, Texas",Point,"[-104.0029099, 31.62673498, 8.483850098]",-104.0029099,31.62673498,8.483850098
Feature,tx2022xaxp,4.5,western Texas,2022-11-24 19:14:19.519,2023-01-30 06:01:35.040,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022xaxp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022xaxp&format=geojson,20.0,3.4,4.843,green,reviewed,0,318,tx,2022xaxp,",us7000is61,tx2022xaxp,",",us,tx,",",dyfi,losspager,moment-tensor,origin,phase-data,shakemap,",42.0,0.0284181076,0.1,47.0,ml,earthquake,M 4.5 - western Texas,Point,"[-103.9876096, 31.63414005, 7.429821777]",-103.9876096,31.63414005,7.429821777
Feature,us7000irjd,6.2,"28 km SW of Las Brisas, Mexico",2022-11-22 16:39:05.789,2023-03-30 07:15:48.466,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000irjd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000irjd&format=geojson,438.0,6.8,6.628,green,reviewed,1,889,us,7000irjd,",at00rlrcx8,us7000irjd,usauto7000irjd,pt22326001,",",at,us,usauto,pt,",",dyfi,ground-failure,impact-link,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",164.0,0.494,0.75,61.0,mww,earthquake,"M 6.2 - 28 km SW of Las Brisas, Mexico",Point,"[-116.3907, 30.7936, 10]",-116.3907,30.7936,10.0
Feature,tx2022wrbx,4.0,"38 km WSW of Mentone, Texas",2022-11-19 10:03:52.335,2023-01-30 06:00:09.040,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022wrbx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022wrbx&format=geojson,5.0,4.1,4.328,green,reviewed,0,248,tx,2022wrbx,",us7000iqyv,tx2022wrbx,",",us,tx,",",dyfi,losspager,moment-tensor,origin,phase-data,shakemap,",64.0,0.02022828971,0.1,29.0,ml,earthquake,"M 4.0 - 38 km WSW of Mentone, Texas",Point,"[-104.0020069, 31.63489585, 7.468383789]",-104.0020069,31.63489585,7.468383789
Feature,tx2022wmog,4.0,"39 km WSW of Mentone, Texas",2022-11-16 22:39:13.563,2023-01-28 19:58:20.040,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022wmog,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022wmog&format=geojson,46.0,5.3,4.423,green,reviewed,0,271,tx,2022wmog,",us7000iq85,tx2022wmog,",",us,tx,",",dyfi,losspager,moment-tensor,origin,phase-data,shakemap,",65.0,0.01217681002,0.2,28.0,ml,earthquake,"M 4.0 - 39 km WSW of Mentone, Texas",Point,"[-104.0091105, 31.62947111, 8.123937988]",-104.0091105,31.62947111,8.123937988
Feature,tx2022wmmd,5.4,"Coalson Draw, Texas",2022-11-16 21:32:44.481,2023-05-10 21:42:55.173,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022wmmd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022wmmd&format=geojson,2292.0,6.3,6.57,green,reviewed,0,1079,tx,2022wmmd,",us7000iq7l,tx2022wmmd,usauto7000iq7l,",",us,tx,usauto,",",dyfi,earthquake-name,general-text,ground-failure,internal-moment-tensor,losspager,moment-tensor,oaf,origin,phase-data,shakemap,",42.0,0.02345152448,0.1,46.0,ml,earthquake,"M 5.4 - Coalson Draw, Texas",Point,"[-103.9987871, 31.6367452, 6.902807617]",-103.9987871,31.6367452,6.902807617
Feature,ci40129847,4.04,"84km ESE of Maneadero, B.C., MX",2022-11-07 04:59:02.620,2023-01-21 19:27:11.040,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40129847,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40129847&format=geojson,10.0,3.4,4.386,green,reviewed,0,255,ci,40129847,",ci40129847,us7000in07,ew1667797160,",",ci,us,ew,",",dyfi,focal-mechanism,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",14.0,0.1804,0.1,87.0,mw,earthquake,"M 4.0 - 84km ESE of Maneadero, B.C., MX",Point,"[-115.6993333, 31.5571667, 7.04]",-115.6993333,31.5571667,7.04
Feature,us7000imgl,6.1,"82 km SSW of Bahía de Kino, Mexico",2022-11-04 10:02:46.346,2023-03-08 18:20:14.734,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000imgl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000imgl&format=geojson,60.0,4.1,5.103,green,reviewed,0,597,us,7000imgl,",us7000imgl,usauto7000imgl,pt22308002,at00rktiks,",",us,usauto,pt,at,",",dyfi,ground-failure,groundmotion-packet,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",150.0,0.837,0.38,91.0,mww,earthquake,"M 6.1 - 82 km SSW of Bahía de Kino, Mexico",Point,"[-112.3106, 28.1573, 10]",-112.3106,28.1573,10.0
