type,id,properties.mag,properties.place,properties.time,properties.updated,properties.tz,properties.url,properties.detail,properties.felt,properties.cdi,properties.mmi,properties.alert,properties.status,properties.tsunami,properties.sig,properties.net,properties.code,properties.ids,properties.sources,properties.types,properties.nst,properties.dmin,properties.rms,properties.gap,properties.magType,properties.type,properties.title,geometry.type,geometry.coordinates,Longitud,Latitud,Profundidad
Feature,us7000jlw8,5.6,"off the east coast of Honshu, Japan",2023-03-22 07:36:58.890,2023-05-03 13:20:29.233,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlw8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000jlw8&format=geojson,7.0,3.4,3.25,green,reviewed,0,485,us,7000jlw8,",us7000jlw8,usauto7000jlw8,",",us,usauto,",",dyfi,groundmotion-packet,internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",118.0,1.668,0.74,51.0,mww,earthquake,"M 5.6 - off the east coast of Honshu, Japan",Point,"[143.1497, 40.2815, 22]",143.1497,40.2815,22.0
Feature,us6000jrjl,6.0,"Hokkaido, Japan region",2023-02-25 13:27:43.704,2023-04-29 21:57:37.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jrjl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jrjl&format=geojson,17.0,7.7,4.749,green,reviewed,0,567,us,6000jrjl,",us6000jrjl,usauto6000jrjl,pt23056000,at00rqn1e6,",",us,usauto,pt,at,",",dyfi,ground-failure,impact-text,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",146.0,1.6,0.69,32.0,mww,earthquake,"M 6.0 - Hokkaido, Japan region",Point,"[145.0212, 42.8258, 55]",145.0212,42.8258,55.0
Feature,us6000jlh9,5.8,"Izu Islands, Japan region",2023-02-05 00:03:19.669,2023-04-15 21:39:31.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlh9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlh9&format=geojson,1.0,1.0,2.808,green,reviewed,0,518,us,6000jlh9,",us6000jlh9,usauto6000jlh9,at00rpkytj,pt23036000,",",us,usauto,at,pt,",",dyfi,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",212.0,1.62,0.55,41.0,mww,earthquake,"M 5.8 - Izu Islands, Japan region",Point,"[141.6605, 32.655, 11]",141.6605,32.655,11.0
Feature,us7000j4mj,6.3,"Bonin Islands, Japan region",2023-01-16 04:49:51.935,2023-03-31 19:44:34.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000j4mj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000j4mj&format=geojson,13.0,2.8,2.792,green,reviewed,0,614,us,7000j4mj,",us7000j4mj,usauto7000j4mj,pt23016000,at00rokar5,",",us,usauto,pt,at,",",dyfi,ground-failure,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",345.0,3.134,0.59,11.0,mww,earthquake,"M 6.3 - Bonin Islands, Japan region",Point,"[139.3452, 28.9804, 405]",139.3452,28.9804,405.0
Feature,us6000jbf0,5.5,,2022-12-24 08:35:41.508,2023-03-07 18:59:45.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jbf0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jbf0&format=geojson,,,0.0,green,reviewed,0,465,us,6000jbf0,",usauto6000jbf0,pt22358000,us6000jbf0,",",usauto,pt,us,",",internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",223.0,3.225,0.67,28.0,mww,earthquake,M 5.5 - ,Point,"[138.8056, 28.2943, 519.989]",138.8056,28.2943,519.989
Feature,us6000ja1a,5.6,"25 km ESE of Miyazaki, Japan",2022-12-17 18:06:02.988,2023-02-28 23:06:23.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000ja1a,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000ja1a&format=geojson,11.0,4.1,4.349,green,reviewed,0,487,us,6000ja1a,",us6000ja1a,usauto6000ja1a,",",us,usauto,",",dyfi,internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",204.0,1.054,0.94,70.0,mww,earthquake,"M 5.6 - 25 km ESE of Miyazaki, Japan",Point,"[131.6429, 31.7958, 30]",131.6429,31.7958,30.0
Feature,us6000j901,5.6,"95 km S of Naze, Japan",2022-12-13 14:25:17.214,2023-02-18 22:04:08.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000j901,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000j901&format=geojson,,,3.796,green,reviewed,0,482,us,6000j901,",usauto6000j901,at00rmu2q7,pt22347000,us6000j901,",",usauto,at,pt,us,",",internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",151.0,1.319,0.57,29.0,mww,earthquake,"M 5.6 - 95 km S of Naze, Japan",Point,"[129.5492, 27.5074, 19]",129.5492,27.5074,19.0
Feature,us7000ipkm,6.1,"85 km SSE of Toba, Japan",2022-11-14 08:08:26.124,2023-01-28 19:58:14.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ipkm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000ipkm&format=geojson,153.0,4.3,3.245,green,reviewed,0,638,us,7000ipkm,",us7000ipkm,usauto7000ipkm,pt22318001,",",us,usauto,pt,",",dyfi,ground-failure,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",274.0,1.127,0.63,28.0,mww,earthquake,"M 6.1 - 85 km SSE of Toba, Japan",Point,"[137.3055, 33.8139, 346]",137.3055,33.8139,346.0
Feature,us6000iq08,5.7,"26 km SE of Kushima, Japan",2022-10-01 15:02:32.377,2022-12-10 22:52:33.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000iq08,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000iq08&format=geojson,17.0,5.4,4.611,green,reviewed,0,509,us,6000iq08,",us6000iq08,usauto6000iq08,at00rj2xsb,pt22274002,",",us,usauto,at,pt,",",dyfi,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",178.0,0.883,0.93,49.0,mww,earthquake,"M 5.7 - 26 km SE of Kushima, Japan",Point,"[131.4691, 31.3495, 31]",131.4691,31.3495,31.0
Feature,us7000i91n,5.7,"166 km W of Itoman, Japan",2022-09-18 08:09:58.854,2022-11-26 20:57:37.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i91n,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i91n&format=geojson,,,3.955,green,reviewed,0,500,us,7000i91n,",usauto7000i91n,us7000i91n,",",usauto,us,",",internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",112.0,2.111,0.59,31.0,mww,earthquake,"M 5.7 - 166 km W of Itoman, Japan",Point,"[126.0051, 26.2583, 10]",126.0051,26.2583,10.0
Feature,us7000i4u0,4.9,"151 km SE of Kuril’sk, Russia",2022-09-02 23:56:46.192,2022-11-06 04:35:45.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i4u0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i4u0&format=geojson,,,2.846,green,reviewed,0,369,us,7000i4u0,",us7000i4u0,",",us,",",losspager,origin,phase-data,shakemap,",131.0,4.677,0.61,76.0,mww,earthquake,"M 4.9 - 151 km SE of Kuril’sk, Russia",Point,"[149.0904, 44.1727, 31.09]",149.0904,44.1727,31.09
Feature,us7000i3c8,5.5,"126 km ENE of Naze, Japan",2022-08-29 12:19:38.362,2022-11-06 04:38:04.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i3c8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i3c8&format=geojson,,,3.531,green,reviewed,0,465,us,7000i3c8,",usauto7000i3c8,us7000i3c8,",",usauto,us,",",internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",94.0,2.642,0.53,48.0,mww,earthquake,"M 5.5 - 126 km ENE of Naze, Japan",Point,"[130.6526, 28.8646, 28]",130.6526,28.8646,28.0
Feature,us6000ibi3,5.6,"261 km SSE of Katsuura, Japan",2022-08-17 04:24:44.961,2022-10-28 02:26:39.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000ibi3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000ibi3&format=geojson,,,2.608,green,reviewed,0,482,us,6000ibi3,",usauto6000ibi3,at00rgqs9c,pt22229001,us6000ibi3,",",usauto,at,pt,us,",",internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",62.0,1.648,0.46,71.0,mww,earthquake,"M 5.6 - 261 km SSE of Katsuura, Japan",Point,"[141.7775, 33.1235, 10]",141.7775,33.1235,10.0
Feature,us6000i8vz,5.9,"109 km E of Shikotan, Russia",2022-08-07 13:40:42.835,2022-10-21 23:18:48.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000i8vz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000i8vz&format=geojson,3.0,3.8,4.113,green,reviewed,0,537,us,6000i8vz,",us6000i8vz,usauto6000i8vz,pt22219000,",",us,usauto,pt,",",dyfi,ground-failure,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",144.0,3.986,0.5,42.0,mww,earthquake,"M 5.9 - 109 km E of Shikotan, Russia",Point,"[148.0852, 43.7392, 61.92]",148.0852,43.7392,61.92
Feature,us6000i7xr,5.7,"Izu Islands, Japan region",2022-08-04 03:39:45.898,2022-10-12 14:50:23.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000i7xr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000i7xr&format=geojson,,,0.0,green,reviewed,0,500,us,6000i7xr,",usauto6000i7xr,us6000i7xr,",",usauto,us,",",internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",319.0,2.34,0.54,26.0,mww,earthquake,"M 5.7 - Izu Islands, Japan region",Point,"[142.5292, 32.6119, 11.525]",142.5292,32.6119,11.525
Feature,us6000i7wm,5.4,"64 km ENE of Namie, Japan",2022-08-04 00:48:17.687,2022-11-25 13:32:57.878,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000i7wm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000i7wm&format=geojson,20.0,4.1,3.734,green,reviewed,0,457,us,6000i7wm,",us6000i7wm,usauto6000i7wm,",",us,usauto,",",dyfi,internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",296.0,2.578,0.54,19.0,mww,earthquake,"M 5.4 - 64 km ENE of Namie, Japan",Point,"[141.7117, 37.6309, 50.193]",141.7117,37.6309,50.193
Feature,us6000i70n,5.3,"Izu Islands, Japan region",2022-07-31 18:50:12.271,2022-10-12 14:49:19.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000i70n,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000i70n&format=geojson,,,0.0,green,reviewed,0,432,us,6000i70n,",us6000i70n,",",us,",",losspager,origin,phase-data,shakemap,",147.0,2.318,0.56,30.0,mb,earthquake,"M 5.3 - Izu Islands, Japan region",Point,"[142.458, 32.4716, 10]",142.458,32.4716,10.0
Feature,us6000i70w,5.0,"Izu Islands, Japan region",2022-07-31 18:48:28.209,2022-10-12 14:49:20.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000i70w,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000i70w&format=geojson,,,0.0,green,reviewed,0,385,us,6000i70w,",us6000i70w,",",us,",",losspager,origin,phase-data,shakemap,",60.0,2.321,0.66,93.0,mww,earthquake,"M 5.0 - Izu Islands, Japan region",Point,"[142.4713, 32.4967, 10]",142.4713,32.4967,10.0
Feature,us6000i69v,5.4,"Izu Islands, Japan region",2022-07-28 19:52:27.254,2022-10-01 22:09:27.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000i69v,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000i69v&format=geojson,1.0,2.0,0.0,green,reviewed,0,449,us,6000i69v,",us6000i69v,usauto6000i69v,",",us,usauto,",",dyfi,internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",134.0,2.292,0.63,30.0,mww,earthquake,"M 5.4 - Izu Islands, Japan region",Point,"[142.4278, 32.4751, 10]",142.4278,32.4751,10.0
Feature,us7000hixl,5.9,"Bonin Islands, Japan region",2022-06-21 07:14:53.666,2022-08-29 04:33:56.507,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000hixl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000hixl&format=geojson,,,3.301,green,reviewed,0,536,us,7000hixl,",usauto7000hixl,at00rdtg4v,pt22172000,us7000hixl,",",usauto,at,pt,us,",",internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",142.0,0.905,0.77,49.0,mww,earthquake,"M 5.9 - Bonin Islands, Japan region",Point,"[142.7323, 27.8624, 10]",142.7323,27.8624,10.0
Feature,us7000hiil,5.5,"126 km WNW of Naha, Japan",2022-06-19 09:55:19.070,2022-08-28 03:18:42.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000hiil,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000hiil&format=geojson,1.0,6.1,3.922,green,reviewed,0,466,us,7000hiil,",us7000hiil,usauto7000hiil,",",us,usauto,",",dyfi,internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",113.0,1.551,0.48,37.0,mww,earthquake,"M 5.5 - 126 km WNW of Naha, Japan",Point,"[126.5426, 26.7173, 7]",126.5426,26.7173,7.0
Feature,us7000hihq,5.1,"58 km NNE of Nanao, Japan",2022-06-19 06:08:06.557,2022-08-28 03:18:38.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000hihq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000hihq&format=geojson,12.0,7.4,6.214,green,reviewed,0,409,us,7000hihq,",us7000hihq,usauto7000hihq,",",us,usauto,",",dyfi,impact-text,internal-moment-tensor,losspager,origin,phase-data,shakemap,",158.0,1.194,0.37,89.0,mww,earthquake,"M 5.1 - 58 km NNE of Nanao, Japan",Point,"[137.3115, 37.5046, 10]",137.3115,37.5046,10.0
Feature,us7000heku,5.6,"140 km WNW of Naha, Japan",2022-06-03 07:03:35.211,2022-08-06 22:13:22.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000heku,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000heku&format=geojson,1.0,6.7,3.934,green,reviewed,0,483,us,7000heku,",us7000heku,usauto7000heku,",",us,usauto,",",dyfi,internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",156.0,1.656,0.61,43.0,mww,earthquake,"M 5.6 - 140 km WNW of Naha, Japan",Point,"[126.4199, 26.7819, 10]",126.4199,26.7819,10.0
Feature,us6000hn6m,5.5,"136 km SSE of Shizunai-furukawach?, Japan",2022-05-23 02:01:05.931,2022-08-02 19:50:42.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000hn6m,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000hn6m&format=geojson,5.0,2.9,3.483,green,reviewed,0,467,us,6000hn6m,",us6000hn6m,usauto6000hn6m,pt22143000,",",us,usauto,pt,",",dyfi,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",182.0,0.779,0.72,95.0,mww,earthquake,"M 5.5 - 136 km SSE of Shizunai-furukawach?, Japan",Point,"[143.0991, 41.2357, 34]",143.0991,41.2357,34.0
Feature,us6000hn4d,6.0,"235 km SSE of Katsuura, Japan",2022-05-22 15:17:31.327,2022-08-02 19:50:40.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000hn4d,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000hn4d&format=geojson,9.0,2.2,3.193,green,reviewed,0,556,us,6000hn4d,",us6000hn4d,usauto6000hn4d,at00rcaih6,pt22142003,",",us,usauto,at,pt,",",dyfi,ground-failure,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",126.0,1.345,0.63,52.0,mww,earthquake,"M 6.0 - 235 km SSE of Katsuura, Japan",Point,"[141.4121, 33.2279, 12]",141.4121,33.2279,12.0
Feature,us6000hn0i,5.4,"46 km SE of Iwaki, Japan",2022-05-22 03:24:11.946,2022-08-02 19:50:39.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000hn0i,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000hn0i&format=geojson,62.0,6.8,4.638,green,reviewed,0,491,us,6000hn0i,",us6000hn0i,usauto6000hn0i,pt22142000,",",us,usauto,pt,",",dyfi,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",98.0,1.707,0.83,120.0,mww,earthquake,"M 5.4 - 46 km SE of Iwaki, Japan",Point,"[141.3127, 36.8145, 10.33]",141.3127,36.8145,10.33
Feature,us6000hlxg,5.6,"227 km SSE of Katsuura, Japan",2022-05-18 03:52:25.111,2022-07-24 02:39:45.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000hlxg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000hlxg&format=geojson,1.0,5.3,2.925,green,reviewed,0,483,us,6000hlxg,",us6000hlxg,usauto6000hlxg,pt22138001,at00rc283g,",",us,usauto,pt,at,",",dyfi,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",124.0,1.394,0.52,39.0,mww,earthquake,"M 5.6 - 227 km SSE of Katsuura, Japan",Point,"[141.4573, 33.3301, 13]",141.4573,33.3301,13.0
Feature,us6000hlry,5.5,"224 km SSE of Katsuura, Japan",2022-05-17 13:17:52.144,2022-07-24 02:39:29.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000hlry,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000hlry&format=geojson,,,2.845,green,reviewed,0,465,us,6000hlry,",usauto6000hlry,pt22137003,at00rc13lx,us6000hlry,",",usauto,pt,at,us,",",internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",118.0,1.448,0.4,83.0,mww,earthquake,"M 5.5 - 224 km SSE of Katsuura, Japan",Point,"[141.5114, 33.3872, 13]",141.5114,33.3872,13.0
Feature,us6000hlq7,5.5,"230 km SSE of Katsuura, Japan",2022-05-17 06:04:53.424,2022-07-24 02:39:22.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000hlq7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000hlq7&format=geojson,1.0,6.1,2.7,green,reviewed,0,466,us,6000hlq7,",us6000hlq7,usauto6000hlq7,pt22137001,at00rc0jk9,",",us,usauto,pt,at,",",dyfi,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",158.0,1.564,0.69,62.0,mww,earthquake,"M 5.5 - 230 km SSE of Katsuura, Japan",Point,"[141.6529, 33.3852, 10]",141.6529,33.3852,10.0
Feature,us7000h7s7,5.5,"137 km WNW of Naha, Japan",2022-05-07 11:53:56.580,2022-07-22 18:31:05.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000h7s7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000h7s7&format=geojson,3.0,3.4,3.904,green,reviewed,0,466,us,7000h7s7,",us7000h7s7,usauto7000h7s7,",",us,usauto,",",dyfi,internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",145.0,1.616,0.52,40.0,mww,earthquake,"M 5.5 - 137 km WNW of Naha, Japan",Point,"[126.4642, 26.7906, 10]",126.4642,26.7906,10.0
Feature,us7000h7j8,5.4,"135 km WNW of Naha, Japan",2022-05-06 13:21:07.558,2022-07-09 21:40:07.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000h7j8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000h7j8&format=geojson,2.0,3.4,3.799,green,reviewed,0,449,us,7000h7j8,",us7000h7j8,usauto7000h7j8,",",us,usauto,",",dyfi,internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",136.0,1.576,0.61,41.0,mww,earthquake,"M 5.4 - 135 km WNW of Naha, Japan",Point,"[126.5084, 26.8334, 10]",126.5084,26.8334,10.0
