id,mag,place,time,updated,cdi,status,tsunami,sig,ids,nst,dmin,rms,gap,Longitud,Latitud,profundidad
tx2022zlii,2.6,"31 km SW of Coyanosa, Texas",2022-12-28 23:05:27.884,2023-03-07 18:59:56.040,,reviewed,0,104,",us7000j0qe,tx2022zlii,",29.0,0.105,0.3,93.0,-103.2715638,31.01901666,4.02
nn00854257,3.4,"32 km NW of Gabbs, Nevada",2022-12-28 13:22:52.129,2023-03-07 18:59:55.040,2.2,reviewed,0,179,",nn00854257,us7000j0ma,",16.0,0.062,0.1008,52.33,-118.1503,39.0976,8.1
tx2022zkhg,2.5,"48 km W of Mentone, Texas",2022-12-28 09:25:34.984,2023-03-07 18:59:42.040,,reviewed,0,96,",us7000j0lk,tx2022zkhg,",21.0,0.041,0.1,71.0,-104.1096701,31.73375443,6.7
ci40150719,2.66,"8km W of Calipatria, CA",2022-12-28 00:55:24.090,2023-03-07 18:59:54.040,3.1,reviewed,0,111,",ci40150719,us7000j0jv,",75.0,0.02,0.25,33.0,-115.604,33.1173333,9.62
nn00854243,2.6,"13 km NW of Mina, Nevada",2022-12-28 00:27:22.080,2023-03-07 18:59:54.040,2.2,reviewed,0,104,",nn00854243,us7000j0jr,",19.0,0.065,0.1515,120.76,-118.1948,38.4897,2.1
nc73825756,2.5,"1km NW of The Geysers, CA",2022-12-27 18:07:18.980,2023-03-07 18:59:42.040,2.2,reviewed,0,97,",nc73825756,us7000j0es,",75.0,0.016,0.08,41.0,-122.7681667,38.7865,1.61
us7000j0eq,3.1,"33 km NE of Ranchester, Wyoming",2022-12-27 17:52:50.643,2023-03-07 18:59:53.040,,reviewed,0,148,",us7000j0eq,",26.0,1.617,0.65,87.0,-106.8972,45.1415,0.0
ci40150599,2.99,"17km NNE of Lucerne Valley, CA",2022-12-27 14:50:47.040,2023-03-07 18:59:53.040,3.8,reviewed,0,149,",ci40150599,us6000jbz9,",77.0,0.138,0.14,29.0,-116.8873333,34.5795,5.53
tx2022zihu,2.9,western Texas,2022-12-27 07:25:29.755,2023-03-07 18:59:52.040,,reviewed,0,129,",us6000jbxm,tx2022zihu,",24.0,0.009,0.1,47.0,-103.9580425,31.6090719,6.67
us6000jbwi,3.2,"14 km NE of Jal, New Mexico",2022-12-27 03:12:20.310,2023-03-07 18:59:52.040,2.8,reviewed,0,160,",us6000jbwi,",31.0,0.429,0.49,81.0,-103.0951,32.2119,5.0
ci40150455,3.32,"76km ESE of Maneadero, B.C., MX",2022-12-27 03:01:32.940,2023-03-07 18:59:52.040,,reviewed,0,170,",ci40150455,us6000jbwd,",10.0,0.145,0.21,139.0,-115.7883333,31.5371667,14.0
us6000jbw9,2.8,"45 km ENE of San Vicente, Mexico",2022-12-27 02:35:13.403,2023-03-07 18:59:45.040,,reviewed,0,121,",ci40150439,us6000jbw9,",42.0,0.523,0.95,130.0,-115.8069,31.4942,5.0
us6000jbu4,3.3,"12 km E of Wright, Wyoming",2022-12-26 20:07:41.362,2023-03-07 18:59:51.040,,reviewed,0,168,",us6000jbu4,",18.0,1.023,0.56,78.0,-105.345,43.7306,0.0
nc73825276,2.68,"13km WSW of Ferndale, CA",2022-12-26 13:58:53.920,2023-03-07 18:59:50.040,2.7,reviewed,0,112,",nc73825276,us6000jbsu,",27.0,0.066,0.1,225.0,-124.3978333,40.523,18.34
nc73825241,2.88,"47km W of Ferndale, CA",2022-12-26 12:20:54.970,2023-03-07 18:59:50.040,2.2,reviewed,0,128,",nc73825241,us6000jbsj,",61.0,2.738,0.15,229.0,-124.809,40.501,20.66
tx2022zgus,2.5,"52 km SSE of Whites City, New Mexico",2022-12-26 11:40:10.432,2023-03-07 18:59:50.040,3.4,reviewed,0,96,",us6000jbsc,tx2022zgus,",14.0,0.039,0.2,56.0,-104.2657066,31.71047574,6.44
us7000j3c4,2.5,"36 km NW of Stanley, Idaho",2022-12-26 02:30:41.423,2023-03-07 19:00:07.040,,reviewed,0,96,",us7000j3c4,",5.0,0.682,0.5,124.0,-115.2192,44.4719,10.0
us6000jbq0,2.6,"40 km NW of Stanley, Idaho",2022-12-26 02:30:11.259,2023-03-07 18:59:49.040,,reviewed,0,104,",us6000jbq0,",19.0,0.674,0.46,59.0,-115.2683,44.4962,10.0
tx2022zfwj,2.6,"38 km W of Mentone, Texas",2022-12-25 23:23:09.987,2023-03-07 18:59:41.040,,reviewed,0,104,",us6000jbpe,tx2022zfwj,",27.0,0.03,0.2,46.0,-104.0023843,31.71440412,7.73
nn00854164,2.9,"19 km NE of Mina, Nevada",2022-12-25 23:11:25.456,2023-03-07 18:59:49.040,,reviewed,0,129,",nn00854166,us6000jbpa,nn00854164,",21.0,0.189,0.1544,46.97,-117.9265,38.4913,2.9
nc73824826,2.97,"25km WSW of Petrolia, CA",2022-12-25 19:40:29.100,2023-03-07 18:59:48.040,2.0,reviewed,0,138,",nc73824826,us6000jbn2,",48.0,0.173,0.23,232.0,-124.5683333,40.2796667,19.35
ci40149879,2.57,"7km NNE of Cabazon, CA",2022-12-25 18:53:13.340,2023-03-07 18:59:41.040,,reviewed,0,102,",ci40149879,us6000jbmu,",122.0,0.066,0.18,16.0,-116.766,33.9778333,16.51
ci40149623,2.5,"14km NNE of Thousand Palms, CA",2022-12-25 08:40:38.690,2023-03-07 18:59:47.040,2.0,reviewed,0,96,",ci40149623,us6000jbkp,",103.0,0.074,0.14,17.0,-116.3198333,33.9333333,5.06
nm60500238,2.52,"5 km ENE of Booneville, Mississippi",2022-12-24 22:49:49.690,2023-03-07 18:59:46.040,4.8,reviewed,0,108,",nm60500238,us6000jbhq,",16.0,0.481,0.37,66.0,-88.5148333333333,34.673,11.76
tx2022zdze,3.4,"16 km NW of Stanton, Texas",2022-12-24 22:32:06.094,2023-03-07 18:59:46.040,4.1,reviewed,0,179,",us6000jbhl,tx2022zdze,",18.0,0.001,0.1,79.0,-101.8920303,32.24578857,5.99
us6000jbhj,2.6,"18 km NW of Challis, Idaho",2022-12-24 22:19:24.766,2023-03-07 18:59:46.040,,reviewed,0,104,",us6000jbhj,",27.0,0.583,0.52,47.0,-114.3992,44.6159,15.09
us6000jbhb,3.4,"21 km NW of Challis, Idaho",2022-12-24 21:12:49.201,2023-03-07 18:59:46.040,2.2,reviewed,0,178,",us6000jbhb,",37.0,0.553,0.81,31.0,-114.398,44.6528,10.0
nc73824236,4.16,"8km E of Hydesville, CA",2022-12-24 19:33:44.190,2023-03-07 18:59:46.040,4.3,reviewed,0,468,",ew1671910430,nc73824236,us6000jbh1,",40.0,0.089,0.15,43.0,-124.0083333,40.5571667,22.4
ci40149471,2.51,"85km E of Maneadero, B.C., MX",2022-12-24 19:15:27.610,2023-03-07 18:59:43.040,,reviewed,0,97,",ci40149471,us6000jbgz,",9.0,0.196,0.08,208.0,-115.6821667,31.5671667,2.68
nc73824006,2.87,"19km WNW of Petrolia, CA",2022-12-24 05:13:07.200,2023-03-07 18:59:45.040,3.1,reviewed,0,129,",ew1671858790,nc73824006,us6000jbea,",32.0,0.159,0.09,251.0,-124.4985,40.3745,23.07
tx2022zcqk,2.5,"16 km NE of Hermleigh, Texas",2022-12-24 04:56:31.826,2023-03-07 18:59:42.040,,reviewed,0,96,",us6000jbe8,tx2022zcqk,",22.0,0.076,0.2,63.0,-100.6551305,32.75665283,6.33
us6000jbct,3.2,"12 km NNE of Wright, Wyoming",2022-12-23 23:05:14.420,2023-02-28 23:06:49.040,,reviewed,0,158,",us6000jbct,",15.0,2.897,0.41,193.0,-105.4089,43.8491,0.0
uu60528612,2.64,"3 km SSE of Trenton, Utah",2022-12-23 22:09:22.530,2023-02-28 23:06:49.040,3.0,reviewed,0,114,",uu60528612,us6000jbcg,",32.0,0.148,0.15,43.0,-111.9326667,41.8841667,7.97
tx2022zbuy,2.8,"50 km NW of Toyah, Texas",2022-12-23 18:06:33.579,2023-02-28 23:06:48.040,,reviewed,0,121,",us6000jbbl,tx2022zbuy,",23.0,0.067,0.1,67.0,-104.1966027,31.6065073,6.13
nc73823706,2.52,"1km SSE of Larkfield-Wikiup, CA",2022-12-23 14:36:59.120,2023-02-28 23:06:47.040,3.4,reviewed,0,161,",nc73823706,us6000jban,",87.0,0.074,0.1,33.0,-122.7485,38.5065,6.48
ok2022zbhc,2.92,"7 km WSW of Minco, Oklahoma",2022-12-23 11:07:18.370,2023-02-28 23:06:47.040,5.8,reviewed,0,135,",ok2022zbhc,us6000jba6,",63.0,0.079,0.18,37.0,-98.0205,35.283,7.62
uw61891152,2.88,"12 km NW of Morton, Washington",2022-12-23 07:02:07.580,2023-03-17 15:32:35.687,3.4,reviewed,0,130,",us6000jb91,uw61891152,",32.0,0.143,0.13,42.0,-122.39266666666668,46.633,17.21
us6000jb59,3.2,"18 km S of Wright, Wyoming",2022-12-22 20:09:49.763,2023-02-28 23:06:45.040,,reviewed,0,158,",us6000jb59,",20.0,1.193,0.94,82.0,-105.5118,43.5894,0.0
us6000jb4d,3.1,"19 km SSE of Sleepy Hollow, Wyoming",2022-12-22 18:05:19.360,2023-02-28 23:06:45.040,,reviewed,0,148,",us6000jb4d,",13.0,0.922,0.77,155.0,-105.3148,44.081,0.0
us6000jb3z,3.1,"29 km NE of Wright, Wyoming",2022-12-22 17:03:31.619,2023-02-28 23:06:45.040,,reviewed,0,148,",us6000jb3z,",14.0,0.904,0.41,92.0,-105.2683,43.9576,0.0
nc73823036,3.79,"6km NW of Petrolia, CA",2022-12-22 11:49:55.860,2023-02-28 23:06:44.040,3.4,reviewed,0,229,",nc73823036,us6000jb1z,",30.0,0.05,0.11,206.0,-124.3346667,40.3601667,28.71
nc73822961,3.33,"14km WSW of Ferndale, CA",2022-12-22 08:47:13.410,2023-02-28 23:06:43.040,3.6,reviewed,0,202,",nc73822961,us6000jb18,",31.0,0.072,0.13,238.0,-124.411,40.52,17.87
nc73822906,2.71,"5km E of Fortuna, CA",2022-12-22 05:24:44.280,2023-02-28 23:06:42.040,2.9,reviewed,0,118,",nc73822906,us6000jb0i,",28.0,0.094,0.14,44.0,-124.1008333,40.5978333,19.42
nc73822861,3.34,"3km N of Union City, CA",2022-12-22 02:22:50.250,2023-04-20 04:34:00.806,3.6,reviewed,0,532,",nc73822861,us6000jazn,",141.0,4.142,0.16,16.0,-122.025,37.6201667,3.82
nc73822836,2.68,"7km NNE of Hydesville, CA",2022-12-22 01:21:23.600,2023-02-28 23:06:42.040,1.0,reviewed,0,111,",nc73822836,us6000jaz0,",28.0,0.122,0.13,59.0,-124.0696667,40.6041667,15.82
nc73822826,2.87,"19km WSW of Ferndale, CA",2022-12-22 01:13:29.760,2023-02-28 23:06:42.040,3.1,reviewed,0,127,",nc73822826,us6000jayu,",24.0,0.099,0.07,252.0,-124.4646667,40.4945,25.53
nc73822711,2.65,"13km NE of Hydesville, CA",2022-12-21 20:56:12.360,2023-02-28 23:06:41.040,3.1,reviewed,0,110,",nc73822711,us6000jax9,",29.0,0.112,0.09,37.0,-124.0081667,40.6381667,18.26
us6000jaw1,3.8,"22 km NW of Stanley, Idaho",2022-12-21 17:42:25.142,2023-02-28 23:06:41.040,3.1,reviewed,0,225,",us6000jaw1,",32.0,0.791,0.87,45.0,-115.1654,44.3432,10.0
nn00853880,2.6,"34 km SE of Mina, Nevada",2022-12-21 16:43:16.326,2023-02-28 23:06:40.040,,reviewed,0,104,",us6000javu,nn00853880,",18.0,0.108,0.1428,132.97,-117.8282,38.1705,8.6
nc73822566,2.93,"2km NNE of San Leandro, CA",2022-12-21 16:34:26.520,2023-02-28 23:06:40.040,3.8,reviewed,0,512,",nc73822566,us6000javs,",142.0,0.025,0.15,28.0,-122.1453333,37.739,4.17
nc73822556,3.3,"6km NNE of Hydesville, CA",2022-12-21 16:28:16.310,2023-02-28 23:06:40.040,3.7,reviewed,0,248,",nc73822556,us6000javr,",34.0,0.062,0.1,33.0,-124.0651667,40.5971667,22.03
tx2022yxxp,2.7,"18 km W of Pawnee, Texas",2022-12-21 14:54:52.584,2023-02-28 23:06:40.040,,reviewed,0,112,",us6000jave,tx2022yxxp,",15.0,0.146,0.2,72.0,-98.19244026,28.66607666,8.78
tx2022yxsa,2.8,"59 km S of Whites City, New Mexico",2022-12-21 12:05:18.686,2023-02-28 23:06:40.040,,reviewed,0,121,",us6000jau8,tx2022yxsa,",40.0,0.04,0.2,66.0,-104.4616556,31.64675114,6.13
ci40392904,2.9,"14km SW of Searles Valley, CA",2022-12-21 11:36:49.040,2023-02-28 23:06:39.040,3.1,reviewed,0,132,",ci40392904,us6000jau6,",41.0,0.116,0.13,60.0,-117.531,35.6953333,9.46
nn00853864,2.9,"34 km SE of Mina, Nevada",2022-12-21 11:19:38.652,2023-02-28 23:06:39.040,2.0,reviewed,0,130,",nn00853864,us6000jau2,",21.0,0.094,0.1422,56.5,-117.8429,38.159,9.6
tx2022yxmi,3.2,western Texas,2022-12-21 09:12:36.458,2023-02-28 23:06:39.040,3.4,reviewed,0,169,",tx2022yxmi,us6000jatj,",33.0,0.036,0.1,48.0,-102.2007193,32.10845947,7.8
nc73822406,2.85,"14km WSW of Ferndale, CA",2022-12-21 09:03:11.170,2023-02-28 23:06:39.040,1.0,reviewed,0,125,",nc73822406,us6000jati,",25.0,0.071,0.11,223.0,-124.4076667,40.523,18.11
nc73822341,3.0,"11km ESE of Pine Hills, CA",2022-12-21 07:17:15.200,2023-02-28 23:06:39.040,5.3,reviewed,0,185,",nc73822341,us6000jasy,",31.0,3.051,0.11,42.0,-124.029,40.693,21.97
nc73822256,2.77,"7km ESE of Hydesville, CA",2022-12-21 05:02:53.790,2023-02-28 23:06:38.040,3.8,reviewed,0,123,",nc73822256,us6000jas7,",35.0,0.115,0.14,41.0,-124.0273333,40.5208333,23.31
nc73822251,2.56,"5km NNE of Hydesville, CA",2022-12-21 04:55:24.650,2023-02-28 23:06:38.040,2.0,reviewed,0,101,",nc73822251,us6000jas6,",28.0,2.054,0.1,54.0,-124.0765,40.5935,22.58
nc73822246,2.53,"6km NNE of Hydesville, CA",2022-12-21 04:38:53.080,2023-02-28 23:06:38.040,1.0,reviewed,0,99,",nc73822246,us6000jas0,",28.0,0.115,0.12,39.0,-124.0805,40.6011667,16.16
nc73822146,3.02,"19km WSW of Ferndale, CA",2022-12-21 01:07:33.710,2023-02-28 23:06:37.040,3.4,reviewed,0,143,",ew1671584860,nc73822146,us6000jaqw,",23.0,0.103,0.08,231.0,-124.4661667,40.5058333,22.8
ci40392824,2.55,"9km NE of Indio, CA",2022-12-21 00:46:14.410,2023-02-28 23:06:37.040,2.2,reviewed,0,103,",ci40392824,us6000jaqr,",84.0,0.056,0.15,35.0,-116.1555,33.7866667,5.77
nc73822111,2.74,"3km ENE of Hydesville, CA",2022-12-21 00:15:31.470,2023-02-28 23:06:37.040,2.7,reviewed,0,116,",nc73822111,us6000jaqh,",29.0,0.145,0.15,79.0,-124.0691667,40.5586667,18.91
tx2022ywsc,2.7,"57 km S of Whites City, New Mexico",2022-12-20 22:59:21.468,2023-02-28 23:06:37.040,,reviewed,0,112,",us6000japw,tx2022ywsc,",25.0,0.051,0.2,77.0,-104.3234662,31.66143017,7.11
nc73822056,2.56,"7km SW of Ferndale, CA",2022-12-20 22:43:03.170,2023-02-28 23:06:36.040,2.0,reviewed,0,101,",nc73822056,us6000japt,",21.0,0.045,0.09,198.0,-124.3298333,40.533,17.4
nc73822026,4.35,"6km WSW of Ferndale, CA",2022-12-20 22:06:34.380,2023-02-28 23:06:36.040,4.3,reviewed,1,331,",ew1671574000,nc73822026,at00rn7mqw,us6000japr,",32.0,0.055,0.17,188.0,-124.3291667,40.5455,19.74
nc73822021,2.58,"4km N of Hydesville, CA",2022-12-20 22:01:19.480,2023-02-28 23:06:36.040,2.2,reviewed,0,103,",nc73822021,us6000japq,",27.0,0.162,0.09,93.0,-124.1055,40.5795,21.72
nc73821996,2.53,"7km WSW of Ferndale, CA",2022-12-20 20:25:47.300,2023-02-28 23:06:36.040,2.7,reviewed,0,99,",nc73821996,us6000jap4,",23.0,0.06,0.07,207.0,-124.3391667,40.547,15.42
nc73821986,2.8,"13km WNW of Bayview, CA",2022-12-20 20:10:26.890,2023-02-28 23:06:36.040,,reviewed,0,121,",nc73821986,us6000jap0,",24.0,0.121,0.1,191.0,-124.328,40.8146667,26.88
nc73821931,2.7,"14km WSW of Ferndale, CA",2022-12-20 19:30:08.730,2023-02-28 23:06:35.040,,reviewed,0,112,",nc73821931,us6000janq,",24.0,0.075,0.1,218.0,-124.4168333,40.5193333,18.5
nc73821921,2.65,"38km W of Petrolia, CA",2022-12-20 19:17:04.030,2023-02-28 23:06:35.040,0.0,reviewed,0,108,",nc73821921,us6000janm,",27.0,2.227,0.13,244.0,-124.7221667,40.3861667,20.79
nc73821776,2.81,"9km WSW of Ferndale, CA",2022-12-20 17:00:57.230,2023-02-28 23:06:35.040,3.1,reviewed,0,122,",nc73821776,us6000jalr,",27.0,0.062,0.16,199.0,-124.3565,40.5368333,16.77
nc73821766,2.7,"7km WSW of Ferndale, CA",2022-12-20 16:40:03.440,2023-02-28 23:06:35.040,,reviewed,0,112,",nc73821766,us6000jalm,",22.0,0.054,0.09,204.0,-124.3358333,40.5416667,16.98
nc73821761,3.2,"10km WSW of Ferndale, CA",2022-12-20 16:33:41.550,2023-02-28 23:06:35.040,3.4,reviewed,0,159,",nc73821761,us6000jalh,",29.0,0.058,0.13,206.0,-124.3623333,40.5303333,17.7
nc73821666,3.18,"6km SW of Ferndale, CA",2022-12-20 15:33:26.910,2023-02-28 23:06:34.040,4.8,reviewed,0,162,",nc73821666,us6000jal5,",24.0,0.051,0.14,188.0,-124.3181667,40.5461667,18.06
nc71129529,2.91,"13km NE of Hydesville, CA",2022-12-20 15:33:01.090,2022-12-21 06:53:13.608,,reviewed,0,130,",nc71129529,",31.0,0.11,0.11,37.0,-124.0028333,40.6371667,18.27
us6000jal4,2.6,"14 km ESE of Pine Hills, California",2022-12-20 15:33:00.607,2023-02-28 23:06:34.040,1.0,reviewed,0,104,",nc73821661,us6000jal4,",43.0,0.143,0.35,39.0,-124.0079,40.6659,25.89
nc73821656,3.01,"10km E of Hydesville, CA",2022-12-20 15:30:01.280,2023-02-28 23:06:34.040,2.0,reviewed,0,140,",nc73821656,us6000jal3,",37.0,0.077,0.14,46.0,-123.9766667,40.5656667,20.1
nc73821636,3.99,"6km NNE of Hydesville, CA",2022-12-20 15:09:05.740,2023-02-28 23:06:34.040,4.2,reviewed,0,266,",nc73821636,us6000jakz,ew1671548950,",33.0,0.06,0.11,31.0,-124.0688333,40.6005,22.5
nc73821551,2.66,"21km SE of Blue Lake, CA",2022-12-20 14:10:59.980,2023-02-28 23:06:34.040,2.7,reviewed,0,110,",nc73821551,us6000jakn,",29.0,0.049,0.09,59.0,-123.8398333,40.7291667,19.47
nc73821516,3.31,"12km WSW of Ferndale, CA",2022-12-20 13:53:19.700,2023-02-28 23:06:34.040,3.1,reviewed,0,171,",nc73821516,us6000jakk,",24.0,0.058,0.09,212.0,-124.389,40.5186667,17.56
nc73821486,3.4,"8km SW of Ferndale, CA",2022-12-20 13:35:06.290,2023-02-28 23:06:34.040,5.3,reviewed,0,185,",nc73821486,us6000jajm,",24.0,0.037,0.09,187.0,-124.324,40.5268333,18.0
nc73821476,2.57,"8km SW of Ferndale, CA",2022-12-20 13:30:45.350,2023-02-28 23:06:34.040,,reviewed,0,102,",nc73821476,us6000jajl,",20.0,0.048,0.1,200.0,-124.3268333,40.5228333,18.34
nc73821431,2.52,"9km SW of Ferndale, CA",2022-12-20 13:08:15.260,2023-02-28 23:06:34.040,,reviewed,0,98,",nc73821431,us6000jaje,",19.0,0.04,0.15,199.0,-124.3391667,40.5166667,17.75
nc73821426,2.53,"9km SW of Ferndale, CA",2022-12-20 13:05:20.530,2023-02-28 23:06:34.040,0.0,reviewed,0,98,",nc73821426,us6000jajd,",20.0,0.046,0.12,206.0,-124.3431667,40.5225,18.62
nc73821386,2.52,"4km WNW of Fortuna, CA",2022-12-20 12:40:17.080,2023-02-28 23:06:34.040,0.0,reviewed,0,98,",nc73821386,us6000jaj8,",27.0,1.981,0.11,97.0,-124.1985,40.6136667,23.94
nc73821361,2.55,"21km WSW of Ferndale, CA",2022-12-20 12:25:25.930,2023-02-28 23:06:33.040,,reviewed,0,100,",nc73821361,us6000jb9u,",28.0,0.105,0.08,226.0,-124.4748333,40.4803333,22.56
nc73821346,2.99,"5km E of Fortuna, CA",2022-12-20 12:21:43.940,2023-02-28 23:06:33.040,3.8,reviewed,0,144,",nc73821346,us6000jaj4,",32.0,3.023,0.1,32.0,-124.0973333,40.5956667,18.46
nc73821341,2.56,"6km SW of Ferndale, CA",2022-12-20 12:20:28.950,2023-02-28 23:06:33.040,1.0,reviewed,0,101,",nc73821341,us6000jaj3,",26.0,0.056,0.08,183.0,-124.3151667,40.5356667,18.32
nc73821321,2.53,"7km SW of Ferndale, CA",2022-12-20 12:14:54.000,2023-02-28 23:06:33.040,,reviewed,0,98,",nc73821321,us6000jaiy,",17.0,0.065,0.11,198.0,-124.3285,40.5405,19.24
nc73821301,2.77,"15km WSW of Ferndale, CA",2022-12-20 12:05:52.450,2023-02-28 23:06:33.040,,reviewed,0,118,",nc73821301,us6000jaiu,",23.0,0.08,0.15,216.0,-124.4228333,40.5213333,18.85
nc73821296,2.81,"20km SE of Blue Lake, CA",2022-12-20 12:04:41.050,2023-02-28 23:06:33.040,3.0,reviewed,0,124,",nc73821296,us6000jait,",27.0,0.05,0.12,59.0,-123.8405,40.7355,19.76
nc73821241,2.75,"12km WSW of Ferndale, CA",2022-12-20 11:48:34.080,2023-02-28 23:06:33.040,,reviewed,0,116,",nc73821241,us6000jain,",21.0,0.07,0.1,226.0,-124.3983333,40.5285,18.15
nc73821226,3.02,"7km SW of Ferndale, CA",2022-12-20 11:42:54.980,2023-02-28 23:06:33.040,4.1,reviewed,0,144,",nc73821226,us6000jaik,",25.0,0.035,0.09,180.0,-124.3145,40.529,17.94
nc73821196,2.74,"14km WSW of Ferndale, CA",2022-12-20 11:30:29.240,2023-02-28 23:06:33.040,2.0,reviewed,0,116,",nc73821196,us6000jaii,",24.0,0.066,0.12,217.0,-124.4091667,40.5126667,16.91
nc73821186,2.73,"16km WSW of Ferndale, CA",2022-12-20 11:23:43.690,2023-02-28 23:06:33.040,0.0,reviewed,0,115,",nc73821186,us6000jaih,",23.0,0.083,0.08,223.0,-124.435,40.5116667,21.74
nc73821181,2.71,"1km NNE of Ferndale, CA",2022-12-20 11:21:40.110,2023-02-28 23:06:33.040,,reviewed,0,113,",nc73821181,us6000jaig,",25.0,0.011,0.07,166.0,-124.2598333,40.5871667,20.96
nc73821176,2.66,"13km WSW of Ferndale, CA",2022-12-20 11:10:11.530,2023-02-28 23:06:33.040,,reviewed,0,109,",nc73821176,us6000jb58,",18.0,0.065,0.08,215.0,-124.3993333,40.5208333,19.89
nc73821156,2.99,"6km SW of Ferndale, CA",2022-12-20 11:09:01.730,2023-02-28 23:06:33.040,7.2,reviewed,0,156,",nc73821156,us6000jai7,",20.0,0.048,0.1,190.0,-124.323,40.5405,17.94
nc73821146,2.52,"7km SW of Ferndale, CA",2022-12-20 11:05:02.360,2023-02-28 23:06:33.040,,reviewed,0,98,",nc73821146,us6000jai5,",21.0,0.044,0.12,191.0,-124.3256667,40.5345,18.78
nc73821141,2.99,"4km N of Hydesville, CA",2022-12-20 11:03:09.540,2023-02-28 23:06:33.040,2.2,reviewed,0,138,",nc73821141,us6000jai4,",23.0,0.083,0.1,61.0,-124.0923333,40.5868333,22.36
nc73821136,2.72,"7km SW of Ferndale, CA",2022-12-20 11:02:13.380,2023-02-28 23:06:33.040,1.0,reviewed,0,114,",nc73821136,us6000jai3,",24.0,0.043,0.14,193.0,-124.3286667,40.5318333,18.03
nc71129519,2.96,"17km WSW of Ferndale, CA",2022-12-20 10:57:56.400,2023-02-28 23:06:33.040,,reviewed,0,135,",nc71129519,us6000japj,",21.0,0.09,0.1,238.0,-124.447,40.5085,19.32
nc73821126,2.67,"6km SW of Ferndale, CA",2022-12-20 10:57:45.610,2023-02-28 23:06:33.040,,reviewed,0,110,",nc73821126,us6000jai1,",26.0,0.043,0.07,181.0,-124.3115,40.5386667,17.63
nc73821121,2.59,"6km SW of Ferndale, CA",2022-12-20 10:54:50.580,2023-02-28 23:06:33.040,1.0,reviewed,0,103,",nc73821121,us6000jahz,",18.0,0.071,0.09,186.0,-124.3126667,40.5436667,18.43
nc73821111,3.52,"9km SW of Ferndale, CA",2022-12-20 10:53:16.680,2023-02-28 23:06:32.040,,reviewed,0,191,",nc73821111,us6000jawe,",23.0,0.053,0.14,211.0,-124.3543333,40.5273333,17.09
nc73821106,3.05,"4km WNW of Ferndale, CA",2022-12-20 10:52:39.630,2023-02-28 23:06:32.040,3.1,reviewed,0,144,",nc73821106,us6000jahx,",29.0,0.039,0.1,190.0,-124.3128333,40.586,20.75
